Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans,Outcome
3,113,339.0,37.667,0.41,0.47200000000000003,13.9,139,160,10, positive
3,59,177.0,19.667,0.475,0.475,84.0,84,84,1, positive
2,20,40.0,10.0,0.675,0.675,27.0,27,27,1, positive
2,101,202.0,50.5,0.54,0.743,10.9,109,150,10, positive
4,194,776.0,48.5,0.263,0.273,34.0,204,212,6, positive
2,18,36.0,9.0,0.667,0.6940000000000001,24.0,24,25,1, positive
2,22,44.0,11.0,0.75,0.75,33.0,33,33,1, positive
2,18,36.0,9.0,0.8059999999999999,0.833,29.0,29,30,1, positive
2,22,44.0,11.0,0.705,0.8640000000000001,15.5,31,38,2, positive
3,116,348.0,38.667,0.385,0.494,33.5,134,172,4, positive
1,10,10.0,10.0,1.0,1.0,10.0,10,10,1, positive
1,13,13.0,13.0,1.0,1.0,13.0,13,13,1, positive
1,8,8.0,8.0,1.0,1.0,8.0,8,8,1, positive
1,44,44.0,44.0,0.25,1.0,2.2,11,44,5, positive
2,20,40.0,10.0,0.725,0.875,29.0,29,35,1, positive
2,20,40.0,10.0,0.775,0.85,31.0,31,34,1, positive
3,113,339.0,37.667,0.35700000000000004,0.37799999999999995,30.25,121,128,4, positive
98,3,294.0,0.031,0.48,0.486,141.0,141,143,1, positive
2,48,96.0,24.0,0.625,0.677,30.0,60,65,2, positive
3,116,348.0,38.667,0.35600000000000004,0.371,62.0,124,129,2, positive
2,18,36.0,9.0,0.722,0.722,26.0,26,26,1, positive
3,132,396.0,44.0,0.505,0.5579999999999999,20.0,200,221,10, positive
1,17,17.0,17.0,0.765,1.0,3.25,13,17,4, positive
1,8,8.0,8.0,1.0,1.0,8.0,8,8,1, positive
2,69,138.0,34.5,0.623,0.9059999999999999,10.75,86,125,8, positive
2,46,92.0,23.0,0.5870000000000001,0.7609999999999999,18.0,54,70,3, positive
1,57,57.0,57.0,0.456,1.0,3.71,26,57,7, positive
1,10,10.0,10.0,0.9,1.0,9.0,9,10,1, positive
2,116,232.0,58.0,0.616,0.802,17.88,143,186,8, positive
2,17,34.0,8.5,0.588,0.971,6.67,20,33,3, positive
1,43,43.0,43.0,0.907,1.0,9.75,39,43,4, positive
19,2,38.0,0.105,0.816,0.816,31.0,31,31,1, positive
5,2,10.0,0.4,0.8,0.8,8.0,8,8,1, positive
10,2,20.0,0.2,0.55,0.6,11.0,11,12,1, positive
