0,1,2,3,4,5,6,7,8,9,10
83.0,277.0,22991.0,3.337,0.18,0.365,6.86,4138.0,8387.0,603.0,1
17.0,341.0,5797.0,20.059,0.935,0.998,36.38,5420.0,5784.0,149.0,1
1.0,41.0,41.0,41.0,0.78,1.0,4.57,32.0,41.0,7.0,1
2.0,52.0,104.0,26.0,0.231,0.529,1.5,24.0,55.0,16.0,1
9.0,1.0,9.0,0.111,1.0,1.0,9.0,9.0,9.0,1.0,1
11.0,1.0,11.0,0.091,1.0,1.0,11.0,11.0,11.0,1.0,1
21.0,68.0,1428.0,3.238,0.052000000000000005,0.109,5.69,74.0,156.0,13.0,1
1.0,32.0,32.0,32.0,0.7190000000000001,1.0,5.75,23.0,32.0,4.0,1
13.0,5.0,65.0,0.385,0.32299999999999995,0.5539999999999999,5.25,21.0,36.0,4.0,1
1.0,126.0,126.0,126.0,0.992,1.0,125.0,125.0,126.0,1.0,1
7.0,1.0,7.0,0.14300000000000002,1.0,1.0,7.0,7.0,7.0,1.0,1
21.0,4.0,84.0,0.19,0.31,0.643,3.71,26.0,54.0,7.0,1
3.0,537.0,1611.0,179.0,0.345,0.405,22.24,556.0,652.0,25.0,1
86.0,67.0,5762.0,0.779,0.16399999999999998,0.935,2.37,947.0,5386.0,399.0,1
306.0,465.0,142290.0,1.52,0.055,0.123,2.69,7861.0,17452.0,2925.0,1
7.0,14.0,98.0,2.0,0.102,0.204,10.0,10.0,20.0,1.0,1
166.0,472.0,78352.0,2.843,0.359,0.547,17.12,28093.0,42821.0,1641.0,1
81.0,49.0,3969.0,0.605,0.113,0.398,2.26,449.0,1580.0,199.0,1
63.0,79.0,4977.0,1.254,0.338,0.345,186.78,1681.0,1718.0,9.0,1
1.0,51.0,51.0,51.0,0.471,1.0,2.4,24.0,51.0,10.0,1
1.0,29.0,29.0,29.0,0.586,1.0,2.13,17.0,29.0,8.0,1
2.0,536.0,1072.0,268.0,0.505,0.512,180.33,541.0,549.0,3.0,1
1.0,87.0,87.0,87.0,0.92,1.0,16.0,80.0,87.0,5.0,1
1.0,81.0,81.0,81.0,0.901,1.0,24.33,73.0,81.0,3.0,1
20.0,39.0,780.0,1.95,0.14,0.405,3.21,109.0,316.0,34.0,1
19.0,47.0,893.0,2.474,0.078,0.112,3.89,70.0,100.0,18.0,1
5.0,280.0,1400.0,56.0,0.78,0.7859999999999999,156.0,1092.0,1100.0,7.0,1
9.0,1.0,9.0,0.111,1.0,1.0,9.0,9.0,9.0,1.0,1
1.0,20.0,20.0,20.0,0.85,1.0,8.5,17.0,20.0,2.0,1
187.0,137.0,25619.0,0.733,0.899,0.991,29.29,23025.0,25400.0,786.0,1
2.0,63.0,126.0,31.5,0.341,0.508,10.75,43.0,64.0,4.0,1
42.0,1.0,42.0,0.024,1.0,1.0,42.0,42.0,42.0,1.0,1
8.0,1.0,8.0,0.125,1.0,1.0,8.0,8.0,8.0,1.0,1
1.0,14.0,14.0,14.0,1.0,1.0,14.0,14.0,14.0,1.0,1
1.0,75.0,75.0,75.0,0.813,1.0,5.55,61.0,75.0,11.0,1
1.0,13.0,13.0,13.0,0.6920000000000001,1.0,3.0,9.0,13.0,3.0,1
65.0,50.0,3250.0,0.769,0.454,0.487,245.83,1475.0,1582.0,6.0,1
1.0,46.0,46.0,46.0,0.239,1.0,1.38,11.0,46.0,8.0,1
1.0,277.0,277.0,277.0,1.0,1.0,277.0,277.0,277.0,1.0,1
3.0,106.0,318.0,35.333,0.258,0.34,6.31,82.0,108.0,13.0,1
1.0,33.0,33.0,33.0,0.667,1.0,3.67,22.0,33.0,6.0,1
4.0,7.0,28.0,1.75,0.28600000000000003,1.0,2.0,8.0,28.0,4.0,1
28.0,61.0,1708.0,2.1790000000000003,0.172,0.509,1.97,294.0,870.0,149.0,1
1.0,29.0,29.0,29.0,0.931,1.0,13.5,27.0,29.0,2.0,1
2.0,123.0,246.0,61.5,0.5,0.504,123.0,123.0,124.0,1.0,1
1.0,16.0,16.0,16.0,1.0,1.0,16.0,16.0,16.0,1.0,1
8.0,1.0,8.0,0.125,1.0,1.0,8.0,8.0,8.0,1.0,1
9.0,1.0,9.0,0.111,1.0,1.0,9.0,9.0,9.0,1.0,1
1.0,42.0,42.0,42.0,0.19,1.0,1.6,8.0,42.0,5.0,1
1.0,17.0,17.0,17.0,1.0,1.0,17.0,17.0,17.0,1.0,1
1.0,8.0,8.0,8.0,1.0,1.0,8.0,8.0,8.0,1.0,1
1.0,27.0,27.0,27.0,0.259,1.0,1.4,7.0,27.0,5.0,1
15.0,1.0,15.0,0.067,1.0,1.0,15.0,15.0,15.0,1.0,1
105.0,2.0,210.0,0.019,0.529,0.5329999999999999,111.0,111.0,112.0,1.0,1
8.0,1.0,8.0,0.125,1.0,1.0,8.0,8.0,8.0,1.0,1
1.0,23.0,23.0,23.0,0.348,1.0,1.6,8.0,23.0,5.0,1
69.0,3.0,207.0,0.043,0.643,0.952,2.08,133.0,197.0,64.0,1
28.0,32.0,896.0,1.143,0.488,0.743,7.05,437.0,666.0,62.0,1
12.0,1.0,12.0,0.083,1.0,1.0,12.0,12.0,12.0,1.0,1
1.0,45.0,45.0,45.0,0.933,1.0,21.0,42.0,45.0,2.0,1
13.0,5.0,65.0,0.385,0.123,0.5379999999999999,8.0,8.0,35.0,1.0,1
28.0,330.0,9240.0,11.786,0.057,0.066,31.0,527.0,614.0,17.0,1
1.0,161.0,161.0,161.0,0.41,1.0,1.02,66.0,161.0,65.0,1
187.0,141.0,26367.0,0.754,0.415,0.884,4.69,10947.0,23301.0,2333.0,1
1.0,12.0,12.0,12.0,0.667,1.0,4.0,8.0,12.0,2.0,1
8.0,231.0,1848.0,28.875,0.872,0.882,179.0,1611.0,1630.0,9.0,1
29.0,61.0,1769.0,2.103,0.121,0.431,1.78,214.0,762.0,120.0,1
1.0,279.0,279.0,279.0,0.964,1.0,38.43,269.0,279.0,7.0,1
25.0,9.0,225.0,0.36,0.187,0.436,2.47,42.0,98.0,17.0,1
1.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0,1
2.0,14.0,28.0,7.0,0.464,0.536,13.0,13.0,15.0,1.0,1
1.0,10.0,10.0,10.0,0.8,1.0,4.0,8.0,10.0,2.0,1
5.0,3.0,15.0,0.6,0.467,0.6,3.5,7.0,9.0,2.0,1
1.0,14.0,14.0,14.0,1.0,1.0,14.0,14.0,14.0,1.0,1
2.0,6.0,12.0,3.0,0.667,1.0,4.0,8.0,12.0,2.0,1
1.0,78.0,78.0,78.0,0.949,1.0,24.67,74.0,78.0,3.0,1
261.0,30.0,7830.0,0.115,0.063,0.09,2.4,492.0,701.0,205.0,1
72.0,96.0,6912.0,1.3330000000000002,0.488,0.5820000000000001,15.69,3374.0,4025.0,215.0,1
1.0,75.0,75.0,75.0,0.92,1.0,11.5,69.0,75.0,6.0,1
3.0,541.0,1623.0,180.33,0.71,0.747,88.62,1152.0,1213.0,13.0,1
32.0,1.0,32.0,0.031,1.0,1.0,32.0,32.0,32.0,1.0,1
168.0,135.0,22680.0,0.804,0.82,0.904,62.81,18591.0,20513.0,296.0,1
1.0,17.0,17.0,17.0,0.412,1.0,1.75,7.0,17.0,4.0,1
1.0,278.0,278.0,278.0,0.946,1.0,29.22,263.0,278.0,9.0,1
2.0,537.0,1074.0,268.5,0.51,0.534,49.82,548.0,574.0,11.0,1
3.0,550.0,1650.0,183.33,0.329,0.375,27.15,543.0,619.0,20.0,1
1.0,40.0,40.0,40.0,0.875,1.0,11.67,35.0,40.0,3.0,1
3.0,54.0,162.0,18.0,0.364,0.519,8.43,59.0,84.0,7.0,1
53.0,48.0,2544.0,0.906,0.157,0.269,7.84,400.0,685.0,51.0,1
6.0,47.0,282.0,7.832999999999998,0.202,0.202,57.0,57.0,57.0,1.0,1
1.0,47.0,47.0,47.0,1.0,1.0,47.0,47.0,47.0,1.0,1
1.0,214.0,214.0,214.0,1.0,1.0,214.0,214.0,214.0,1.0,1
2.0,537.0,1074.0,268.5,0.621,0.747,16.68,667.0,802.0,40.0,1
12.0,278.0,3336.0,23.167,0.11,0.14400000000000002,15.91,366.0,479.0,23.0,1
31.0,1.0,31.0,0.032,1.0,1.0,31.0,31.0,31.0,1.0,1
8.0,16.0,128.0,2.0,0.398,0.695,2.55,51.0,89.0,20.0,1
2.0,537.0,1074.0,268.5,0.5379999999999999,0.555,82.57,578.0,596.0,7.0,1
13.0,1.0,13.0,0.077,1.0,1.0,13.0,13.0,13.0,1.0,1
1.0,14.0,14.0,14.0,0.643,1.0,3.0,9.0,14.0,3.0,1
39.0,1.0,39.0,0.026,1.0,1.0,39.0,39.0,39.0,1.0,1
